Variance score,Mean Absolute Error,Mean Square Error,Root Mean Square Error,R2
0.155445814,0.059018675,0.009846865,0.099231372,0.12492088
0.101627946,0.065556206,0.015412971,0.124148989,0.073037994
0.094613671,0.06844943,0.017009506,0.130420497,0.058546838
0.128614485,0.06472624,0.013012714,0.114073282,0.07977958
0.1169554,0.06659281,0.015114371,0.122940517,0.071861018
0.10715735,0.06867849,0.01722521,0.131244846,0.066247291
0.115095615,0.066439755,0.016722737,0.129316422,0.079884892
0.124211431,0.06392745,0.016223397,0.1273711,0.093083788
0.116282701,0.06398944,0.01521564,0.123351692,0.091128324
0.108540893,0.06389731,0.014209163,0.119202195,0.087743347
0.097385049,0.06303804,0.014591524,0.120795382,0.079777624
0.087490618,0.06226073,0.01495693,0.122298527,0.072970175
0.068475902,0.063365646,0.015420533,0.124179438,0.049239157
0.049794614,0.06448509,0.015877377,0.126005465,0.026041908
0.044824243,0.06718451,0.017109876,0.130804727,0.016438543
0.040696383,0.06977336,0.018342402,0.135434124,0.007600036
0.069409788,0.06909658,0.017876035,0.133701289,0.031484938
0.095614433,0.06842345,0.017422842,0.131995613,0.053806851
0.071345568,0.06645911,0.017175741,0.131056253,0.034263381
0.043738008,0.064670414,0.016917482,0.130067221,0.012609547
0.069596469,0.058815148,0.013686655,0.116989979,0.046899472
0.109299421,0.05290896,0.010457747,0.102263125,0.094043417
0.096473038,0.054431956,0.010472529,0.102335373,0.081590279
0.083876193,0.055795297,0.010479594,0.102369886,0.069642594
0.106242478,0.05451153,0.010940141,0.104595129,0.089913912
0.122393668,0.05329724,0.011440787,0.106961617,0.104339188
0.14351666,0.05165146,0.010231883,0.101152772,0.123399361
0.170054495,0.050270397,0.009003108,0.094884711,0.147936942
0.195868075,0.04772035,0.00792113,0.089000733,0.175288464
0.228034139,0.04514523,0.006822741,0.082599886,0.209513944
0.200360298,0.04751886,0.00777926,0.088200112,0.17510941
0.174963593,0.049935877,0.008746681,0.093523691,0.143283899
0.12925297,0.048991162,0.008408926,0.091700199,0.103261393
0.071858823,0.04806522,0.008086979,0.089927634,0.051586495
0.071286976,0.04795845,0.007722928,0.087880192,0.052472652
0.074257255,0.047740664,0.007347609,0.085718197,0.055200182
0.067971349,0.049385093,0.009210297,0.095970292,0.046395733
0.064389884,0.051004544,0.011064717,0.105188957,0.039735807
0.113920331,0.0472225,0.008416345,0.091740642,0.091334297
0.193718076,0.04335596,0.005776674,0.076004431,0.17249075
0.113542557,0.045037016,0.007067765,0.084070001,0.086376921
0.050304174,0.04669503,0.008334669,0.09129441,0.017992222
0.079906106,0.04495393,0.007290403,0.085383856,0.04968065
0.115739822,0.043206044,0.006237132,0.078975512,0.089293277
0.098058522,0.044316262,0.006448973,0.080305498,0.080124145
0.080538571,0.04542869,0.006683409,0.081752118,0.069010973
0.045518637,0.043370083,0.005997833,0.07744568,0.039083471
0.002809823,0.0412231,0.005279523,0.072660328,-6.82E-05
0.057958424,0.04157937,0.004923212,0.070165603,0.05333503
0.107703447,0.04212451,0.004610162,0.067898172,0.100430464
0.114228129,0.039561186,0.004079805,0.063873353,0.109969606
0.12509644,0.036946546,0.00354336,0.059526132,0.123699199
0.119241118,0.04231516,0.006159382,0.07848173,0.108464561
0.11527431,0.047702722,0.008800479,0.093810866,0.092636497
0.10099411,0.049970075,0.011762682,0.1084559,0.078181427
0.099223495,0.049061224,0.01287659,0.113475062,0.082244095
0.11209327,0.04586796,0.010996407,0.104863754,0.100719582
0.096471012,0.044593003,0.009398795,0.096947381,0.087138083
0.076178849,0.043053422,0.007771995,0.088158916,0.069229298
0.074920893,0.04001662,0.006110792,0.078171552,0.07049746
0.080079496,0.03689024,0.004428912,0.066550068,0.076823207
0.096078694,0.03864152,0.005616435,0.07494288,0.089288234
0.100553393,0.040252738,0.006869582,0.082882939,0.087736491
0.116576612,0.04144643,0.006851091,0.082771315,0.09170933
0.129241168,0.04324197,0.006822831,0.08260043,0.095548617
0.102319837,0.046191007,0.00758505,0.087092193,0.071284815
0.076735556,0.04918848,0.008361535,0.09144143,0.048000783
0.067825496,0.04715871,0.00778393,0.088226582,0.050897778
0.059283853,0.04522866,0.007207938,0.084899576,0.051360161
0.07464242,0.043910116,0.008084161,0.089911964,0.071095855
0.090114474,0.04247708,0.00893889,0.094545703,0.088654394
0.064313412,0.03791934,0.005888428,0.076736094,0.063775096
-0.031808138,0.033471514,0.002850253,0.053387762,-0.047309671
0.018584669,0.033858363,0.00273068,0.052255913,0.005715706
0.070960045,0.034045227,0.002601244,0.051002395,0.061335303
0.16514194,0.03494818,0.002961818,0.054422591,0.163651327
0.225892305,0.03565224,0.003332033,0.057723765,0.225432273
0.299983621,0.033619773,0.002972676,0.054522248,0.298344204
0.369785607,0.031793464,0.002645757,0.051436918,0.365446755
0.315708756,0.03184331,0.00241448,0.049137362,0.312608568
0.233632863,0.032291744,0.002184707,0.046740847,0.233124887
0.215939343,0.033223767,0.002361975,0.048600156,0.21465917
0.198218465,0.034036502,0.002546257,0.050460449,0.194731021
0.177699387,0.033479586,0.00316393,0.056248825,0.175170534
0.16939038,0.032759953,0.003760401,0.061322112,0.16650118
0.14610678,0.03362525,0.004030089,0.063482985,0.14373924
0.126287997,0.034422427,0.004285903,0.06546681,0.124888658
0.171114922,0.03278764,0.003564191,0.059700848,0.169968742
0.229274929,0.031080237,0.002843809,0.053327374,0.228783169
0.222913027,0.03294296,0.003285847,0.057322309,0.217294851
0.214975774,0.034681663,0.003759007,0.061310739,0.198367225
0.203250051,0.03230164,0.003209907,0.05665604,0.195207484
0.188845038,0.030253535,0.002641374,0.051394297,0.188213301
0.182259262,0.031126741,0.002652213,0.051499643,0.182184971
0.169557273,0.031948913,0.002686604,0.05183246,0.169407299
